Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,kl,rewards / function_works / mean,rewards / function_works / std,rewards / no_cheating / mean,rewards / no_cheating / std,rewards / strategy_succeeds / mean,rewards / strategy_succeeds / std
102,0.000265,7.200000,0.000000,220.750000,216.000000,225.000000,0.000000,220.750000,216.000000,225.000000,0.265285,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
103,0.000252,7.400000,0.000000,220.250000,212.000000,223.000000,0.000000,220.250000,212.000000,223.000000,0.252446,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
104,0.000376,7.400000,0.000000,220.750000,215.000000,225.000000,0.000000,220.750000,215.000000,225.000000,0.375508,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
105,0.000199,7.800000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.198542,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
106,0.000189,7.800000,0.000000,223.500000,221.000000,225.000000,0.000000,223.500000,221.000000,225.000000,0.188702,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
107,0.000366,7.800000,0.000000,225.500000,221.000000,231.000000,0.000000,225.500000,221.000000,231.000000,0.366112,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
108,0.000388,32.000000,0.000000,221.500000,215.000000,232.000000,0.000000,221.500000,215.000000,232.000000,0.388327,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
109,0.000175,7.600000,0.000000,221.750000,219.000000,223.000000,0.000000,221.750000,219.000000,223.000000,0.174858,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
110,0.000263,32.000000,0.000000,223.000000,219.000000,228.000000,0.000000,223.000000,219.000000,228.000000,0.263109,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
111,0.000582,6.100000,2.600000,228.500000,221.000000,247.000000,0.000000,228.500000,221.000000,247.000000,0.581798,1.000000,0.000000,1.000000,0.000000,4.100000,2.600000
112,0.000217,8.400000,0.000000,224.250000,223.000000,225.000000,0.000000,224.250000,223.000000,225.000000,0.217425,1.000000,0.000000,1.000000,0.000000,6.400000,0.000000
113,0.000198,8.200000,0.000000,222.500000,221.000000,224.000000,0.000000,222.500000,221.000000,224.000000,0.198038,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
114,0.000208,8.200000,0.000000,217.750000,213.000000,221.000000,0.000000,217.750000,213.000000,221.000000,0.207718,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
115,0.000587,8.200000,0.000000,235.500000,217.000000,256.000000,0.000000,235.500000,217.000000,256.000000,0.586568,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
116,0.000151,7.800000,0.000000,220.000000,218.000000,221.000000,0.000000,220.000000,218.000000,221.000000,0.151183,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
117,0.000627,8.000000,0.000000,227.000000,219.000000,248.000000,0.000000,227.000000,219.000000,248.000000,0.627078,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
118,0.000206,7.400000,0.000000,218.750000,213.000000,221.000000,0.000000,218.750000,213.000000,221.000000,0.206444,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
119,0.000210,7.800000,0.000000,219.000000,213.000000,221.000000,0.000000,219.000000,213.000000,221.000000,0.210434,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
120,0.000629,0.350000,14.900000,227.250000,219.000000,248.000000,0.000000,227.250000,219.000000,248.000000,0.628549,0.250000,1.500000,-4.250000,10.500000,4.350000,2.900000
121,0.000240,6.600000,0.000000,217.250000,213.000000,221.000000,0.000000,217.250000,213.000000,221.000000,0.240056,1.000000,0.000000,1.000000,0.000000,4.600000,0.000000
122,0.000221,32.000000,0.000000,218.250000,214.000000,221.000000,0.000000,218.250000,214.000000,221.000000,0.220658,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
123,0.002142,6.300000,4.200000,279.750000,216.000000,463.000000,0.000000,279.750000,216.000000,463.000000,2.141874,1.000000,0.000000,1.000000,0.000000,4.300000,4.200000
124,0.000239,8.000000,0.000000,220.000000,219.000000,221.000000,0.000000,220.000000,219.000000,221.000000,0.238688,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
125,0.000239,7.400000,0.000000,224.500000,219.000000,228.000000,0.000000,224.500000,219.000000,228.000000,0.238922,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
126,0.000176,8.600000,0.000000,219.750000,219.000000,221.000000,0.000000,219.750000,219.000000,221.000000,0.175635,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
127,0.000616,8.200000,0.000000,224.750000,219.000000,238.000000,0.000000,224.750000,219.000000,238.000000,0.616101,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
128,0.000159,32.000000,0.000000,218.000000,216.000000,219.000000,0.000000,218.000000,216.000000,219.000000,0.158732,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
129,0.000220,7.000000,0.000000,219.750000,216.000000,221.000000,0.000000,219.750000,216.000000,221.000000,0.219535,1.000000,0.000000,1.000000,0.000000,5.000000,0.000000
130,0.000274,7.200000,0.000000,220.500000,219.000000,223.000000,0.000000,220.500000,219.000000,223.000000,0.274208,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
131,0.000175,7.000000,0.000000,219.500000,219.000000,221.000000,0.000000,219.500000,219.000000,221.000000,0.174954,1.000000,0.000000,1.000000,0.000000,5.000000,0.000000
132,0.000180,8.200000,0.000000,220.000000,219.000000,221.000000,0.000000,220.000000,219.000000,221.000000,0.179586,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
133,0.000175,7.600000,0.000000,220.500000,219.000000,221.000000,0.000000,220.500000,219.000000,221.000000,0.174615,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
134,0.000388,7.600000,0.000000,228.500000,219.000000,238.000000,0.000000,228.500000,219.000000,238.000000,0.387992,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
135,0.000170,8.200000,0.000000,220.250000,219.000000,221.000000,0.000000,220.250000,219.000000,221.000000,0.169874,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
136,0.000321,8.200000,0.000000,231.500000,219.000000,238.000000,0.000000,231.500000,219.000000,238.000000,0.321261,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
